idx,class,conversation
32,일반 대화,"점심 뭐 먹을까? 벌써부터 너무 배고프다.
간단하게 햄버거 어때? 새로 오픈한 데 있어.
햄버거도 나쁘지 않지. 감튀 큰 걸로 먹자.
구내식당은 좀 물려. 그냥 밖에 나가서 먹자.
저기 백반집 어때? 반찬 여러 가지 나오고 좋아.
당연하지. 오후에 일하려면 든든하게 먹어야지.
다 먹고 시원한 아이스 아메리카노도 마실 거지?
디저트 배는 따로 있으니까 케이크도 먹을까?
자리 맡아준다고? 진짜 고맙다 나 엘베 탔어.
응 조심히 와. 도착하면 바로 시킬 수 있게 할게."
33,일반 대화,"아침 안 먹었더니 쓰러지겠어. 빨리 가자.
나도 완전 배고파. 오늘 매운 거 땡기는데?
매운 거면 짬뽕 어때? 새로 생긴 중국집!
사람 많을지도 모르니까 지금 당장 출발하자.
저기 백반집 어때? 반찬 여러 가지 나오고 좋아.
천천히 와. 내가 먼저 내려가서 줄 서고 있을게.
다 먹고 시원한 아이스 아메리카노도 마실 거지?
디저트 배는 따로 있으니까 케이크도 먹을까?
우리 오늘 점심시간 진짜 꽉 채워서 알차게 놀자.
좋아! 빨리 가서 먹고 가볍게 산책도 좀 하자."
34,일반 대화,"점심 뭐 먹을까? 벌써부터 너무 배고프다.
나도 완전 배고파. 오늘 매운 거 땡기는데?
햄버거도 나쁘지 않지. 감튀 큰 걸로 먹자.
구내식당은 좀 물려. 그냥 밖에 나가서 먹자.
저기 백반집 어때? 반찬 여러 가지 나오고 좋아.
천천히 와. 내가 먼저 내려가서 줄 서고 있을게.
동의해. 다 먹고 나면 졸리니까 커피 필수지.
오 커피까지 사준다고? 완전 이득이다 가자.
내가 아는 디저트 맛집 있어 거기로 바로 가자.
좋아! 빨리 가서 먹고 가볍게 산책도 좀 하자."
35,일반 대화,"아침 안 먹었더니 쓰러지겠어. 빨리 가자.
나도 완전 배고파. 오늘 매운 거 땡기는데?
매운 거면 짬뽕 어때? 새로 생긴 중국집!
버거킹에 신메뉴 나왔대. 그거 먹어봐야겠다.
알았어. 겉옷만 챙겨서 바로 나갈게 로비로 와.
지금 뛰어가면 괜찮을 거야. 늦으면 자리 없어.
알았어 지금 당장 뛰어간다. 이따 카톡 할게.
오 커피까지 사준다고? 완전 이득이다 가자.
우리 오늘 점심시간 진짜 꽉 채워서 알차게 놀자.
응 조심히 와. 도착하면 바로 시킬 수 있게 할게."
36,일반 대화,"아침 안 먹었더니 쓰러지겠어. 빨리 가자.
간단하게 햄버거 어때? 새로 오픈한 데 있어.
오 짬뽕 좋다. 국물이 진짜 끝내준다고 해.
버거킹에 신메뉴 나왔대. 그거 먹어봐야겠다.
저기 백반집 어때? 반찬 여러 가지 나오고 좋아.
당연하지. 오후에 일하려면 든든하게 먹어야지.
다 먹고 시원한 아이스 아메리카노도 마실 거지?
당연하지! 밥 먹고 식후 커피 안 마시면 졸려.
우리 오늘 점심시간 진짜 꽉 채워서 알차게 놀자.
응 조심히 와. 도착하면 바로 시킬 수 있게 할게."
37,일반 대화,"점심 뭐 먹을까? 벌써부터 너무 배고프다.
딱히 생각나는 게 없네. 너 먹고 싶은 거!
오 짬뽕 좋다. 국물이 진짜 끝내준다고 해.
맞아 탕수육도 엄청 바삭하고 맛있었어 가자.
오 탕수육까지? 오늘 완전 포식하는 날이네.
백반 좋지! 한국인은 밥심이지. 제육볶음 어때?
다 먹고 시원한 아이스 아메리카노도 마실 거지?
당연하지! 밥 먹고 식후 커피 안 마시면 졸려.
커피는 내가 살게. 아까 네가 밥 샀으니까.
다이어트는 내일부터 해야겠네. 너무 행복하다."
38,일반 대화,"아침 안 먹었더니 쓰러지겠어. 빨리 가자.
나도 완전 배고파. 오늘 매운 거 땡기는데?
매운 거면 짬뽕 어때? 새로 생긴 중국집!
버거킹에 신메뉴 나왔대. 그거 먹어봐야겠다.
오 탕수육까지? 오늘 완전 포식하는 날이네.
당연하지. 오후에 일하려면 든든하게 먹어야지.
제육볶음 맛있어. 다 먹고 커피는 내가 쏠게.
내가 먼저 가서 자리 맡아 놓을 테니까 와.
우리 오늘 점심시간 진짜 꽉 채워서 알차게 놀자.
다이어트는 내일부터 해야겠네. 너무 행복하다."
39,일반 대화,"점심 뭐 먹을까? 벌써부터 너무 배고프다.
딱히 생각나는 게 없네. 너 먹고 싶은 거!
오 짬뽕 좋다. 국물이 진짜 끝내준다고 해.
사람 많을지도 모르니까 지금 당장 출발하자.
알았어. 겉옷만 챙겨서 바로 나갈게 로비로 와.
지금 뛰어가면 괜찮을 거야. 늦으면 자리 없어.
제육볶음 맛있어. 다 먹고 커피는 내가 쏠게.
내가 먼저 가서 자리 맡아 놓을 테니까 와.
우리 오늘 점심시간 진짜 꽉 채워서 알차게 놀자.
진짜? 완전 고맙지. 얼른 가서 맛있게 먹자!"
40,일반 대화,"점심 뭐 먹을까? 벌써부터 너무 배고프다.
나도 완전 배고파. 오늘 매운 거 땡기는데?
오 짬뽕 좋다. 국물이 진짜 끝내준다고 해.
맞아 탕수육도 엄청 바삭하고 맛있었어 가자.
근데 거기 대기 줄 길지 않을까? 빨리 걷자.
당연하지. 오후에 일하려면 든든하게 먹어야지.
제육볶음 맛있어. 다 먹고 커피는 내가 쏠게.
당연하지! 밥 먹고 식후 커피 안 마시면 졸려.
내가 아는 디저트 맛집 있어 거기로 바로 가자.
다이어트는 내일부터 해야겠네. 너무 행복하다."
41,일반 대화,"점심 뭐 먹을까? 벌써부터 너무 배고프다.
오늘은 왠지 면 종류가 땡겨. 얼큰한 거!
매운 거면 짬뽕 어때? 새로 생긴 중국집!
구내식당은 좀 물려. 그냥 밖에 나가서 먹자.
알았어. 겉옷만 챙겨서 바로 나갈게 로비로 와.
천천히 와. 내가 먼저 내려가서 줄 서고 있을게.
동의해. 다 먹고 나면 졸리니까 커피 필수지.
당연하지! 밥 먹고 식후 커피 안 마시면 졸려.
우리 오늘 점심시간 진짜 꽉 채워서 알차게 놀자.
좋아! 빨리 가서 먹고 가볍게 산책도 좀 하자."
42,일반 대화,"아침 안 먹었더니 쓰러지겠어. 빨리 가자.
나도 완전 배고파. 오늘 매운 거 땡기는데?
햄버거도 나쁘지 않지. 감튀 큰 걸로 먹자.
버거킹에 신메뉴 나왔대. 그거 먹어봐야겠다.
알았어. 겉옷만 챙겨서 바로 나갈게 로비로 와.
당연하지. 오후에 일하려면 든든하게 먹어야지.
다 먹고 시원한 아이스 아메리카노도 마실 거지?
당연하지! 밥 먹고 식후 커피 안 마시면 졸려.
자리 맡아준다고? 진짜 고맙다 나 엘베 탔어.
응 조심히 와. 도착하면 바로 시킬 수 있게 할게."
43,일반 대화,"메뉴 정했어? 오늘 진짜 맛있는 거 먹자.
나도 완전 배고파. 오늘 매운 거 땡기는데?
매운 거면 짬뽕 어때? 새로 생긴 중국집!
구내식당은 좀 물려. 그냥 밖에 나가서 먹자.
근데 거기 대기 줄 길지 않을까? 빨리 걷자.
당연하지. 오후에 일하려면 든든하게 먹어야지.
동의해. 다 먹고 나면 졸리니까 커피 필수지.
오 커피까지 사준다고? 완전 이득이다 가자.
내가 아는 디저트 맛집 있어 거기로 바로 가자.
응 조심히 와. 도착하면 바로 시킬 수 있게 할게."
44,일반 대화,"메뉴 정했어? 오늘 진짜 맛있는 거 먹자.
간단하게 햄버거 어때? 새로 오픈한 데 있어.
오랜만에 구내식당 갈까? 메뉴 괜찮던데.
맞아 탕수육도 엄청 바삭하고 맛있었어 가자.
오 탕수육까지? 오늘 완전 포식하는 날이네.
지금 뛰어가면 괜찮을 거야. 늦으면 자리 없어.
다 먹고 시원한 아이스 아메리카노도 마실 거지?
내가 먼저 가서 자리 맡아 놓을 테니까 와.
우리 오늘 점심시간 진짜 꽉 채워서 알차게 놀자.
다이어트는 내일부터 해야겠네. 너무 행복하다."
45,일반 대화,"메뉴 정했어? 오늘 진짜 맛있는 거 먹자.
오늘은 왠지 면 종류가 땡겨. 얼큰한 거!
오랜만에 구내식당 갈까? 메뉴 괜찮던데.
구내식당은 좀 물려. 그냥 밖에 나가서 먹자.
근데 거기 대기 줄 길지 않을까? 빨리 걷자.
천천히 와. 내가 먼저 내려가서 줄 서고 있을게.
동의해. 다 먹고 나면 졸리니까 커피 필수지.
오 커피까지 사준다고? 완전 이득이다 가자.
우리 오늘 점심시간 진짜 꽉 채워서 알차게 놀자.
다이어트는 내일부터 해야겠네. 너무 행복하다."
